"Nombre","Fecha","Tipo","Horario"
"Thunderbolts*","2025-05-03","4D • 3D • ESPAÑOL","19:45"
"Thunderbolts*","2025-05-03","4D • 3D • ESPAÑOL","22:30"
"Thunderbolts*","2025-05-04","CLASSIC • 3D • ESPAÑOL","14:00"
"Thunderbolts*","2025-05-04","CLASSIC • 3D • ESPAÑOL","16:45"
"Thunderbolts*","2025-05-04","CLASSIC • 3D • ESPAÑOL","19:30"
"Thunderbolts*","2025-05-04","CLASSIC • 3D • ESPAÑOL","22:15"
"Thunderbolts*","2025-05-04","CLASSIC • 2D • ESPAÑOL","14:30"
"Thunderbolts*","2025-05-04","CLASSIC • 2D • ESPAÑOL","15:30"
"Thunderbolts*","2025-05-04","CLASSIC • 2D • ESPAÑOL","16:30"
"Thunderbolts*","2025-05-04","CLASSIC • 2D • ESPAÑOL","17:15"
"Thunderbolts*","2025-05-04","CLASSIC • 2D • ESPAÑOL","18:15"
"Thunderbolts*","2025-05-04","CLASSIC • 2D • ESPAÑOL","19:15"
"Thunderbolts*","2025-05-04","CLASSIC • 2D • ESPAÑOL","20:00"
"Thunderbolts*","2025-05-04","CLASSIC • 2D • ESPAÑOL","21:00"
"Thunderbolts*","2025-05-04","CLASSIC • 2D • ESPAÑOL","22:00"
"Thunderbolts*","2025-05-04","CLASSIC • 2D • SUBTITULADO","22:45"
"Thunderbolts*","2025-05-04","4D • 3D • ESPAÑOL","14:15"
"Thunderbolts*","2025-05-04","4D • 3D • ESPAÑOL","17:00"
"Thunderbolts*","2025-05-04","4D • 3D • ESPAÑOL","19:45"
"Thunderbolts*","2025-05-04","4D • 3D • ESPAÑOL","22:30"
"Thunderbolts*","2025-05-05","CLASSIC • 2D • ESPAÑOL","16:30"
"Thunderbolts*","2025-05-05","CLASSIC • 2D • ESPAÑOL","17:15"
"Thunderbolts*","2025-05-05","CLASSIC • 2D • ESPAÑOL","18:15"
"Thunderbolts*","2025-05-05","CLASSIC • 2D • ESPAÑOL","19:15"
"Thunderbolts*","2025-05-05","CLASSIC • 2D • ESPAÑOL","20:00"
"Thunderbolts*","2025-05-05","CLASSIC • 2D • ESPAÑOL","21:00"
"Thunderbolts*","2025-05-05","CLASSIC • 2D • ESPAÑOL","22:00"
"Thunderbolts*","2025-05-05","CLASSIC • 3D • ESPAÑOL","16:45"
"Thunderbolts*","2025-05-05","CLASSIC • 3D • ESPAÑOL","19:30"
"Thunderbolts*","2025-05-05","CLASSIC • 3D • ESPAÑOL","22:15"
"Thunderbolts*","2025-05-05","CLASSIC • 2D • SUBTITULADO","22:45"
"Thunderbolts*","2025-05-05","4D • 3D • ESPAÑOL","17:00"
"Thunderbolts*","2025-05-05","4D • 3D • ESPAÑOL","19:45"
"Thunderbolts*","2025-05-05","4D • 3D • ESPAÑOL","22:30"
"Thunderbolts*","2025-05-06","CLASSIC • 2D • ESPAÑOL","16:30"
"Thunderbolts*","2025-05-06","CLASSIC • 2D • ESPAÑOL","17:15"
"Thunderbolts*","2025-05-06","CLASSIC • 2D • ESPAÑOL","18:15"
"Thunderbolts*","2025-05-06","CLASSIC • 2D • ESPAÑOL","19:15"
"Thunderbolts*","2025-05-06","CLASSIC • 2D • ESPAÑOL","20:00"
"Thunderbolts*","2025-05-06","CLASSIC • 2D • ESPAÑOL","21:00"
"Thunderbolts*","2025-05-06","CLASSIC • 2D • ESPAÑOL","22:00"
"Thunderbolts*","2025-05-06","CLASSIC • 3D • ESPAÑOL","16:45"
"Thunderbolts*","2025-05-06","CLASSIC • 3D • ESPAÑOL","19:30"
"Thunderbolts*","2025-05-06","CLASSIC • 3D • ESPAÑOL","22:15"
"Thunderbolts*","2025-05-06","CLASSIC • 2D • SUBTITULADO","22:45"
"Thunderbolts*","2025-05-06","4D • 3D • ESPAÑOL","17:00"
"Thunderbolts*","2025-05-06","4D • 3D • ESPAÑOL","19:45"
"Thunderbolts*","2025-05-06","4D • 3D • ESPAÑOL","22:30"
"Thunderbolts*","2025-05-07","CLASSIC • 2D • ESPAÑOL","16:30"
"Thunderbolts*","2025-05-07","CLASSIC • 2D • ESPAÑOL","17:15"
"Thunderbolts*","2025-05-07","CLASSIC • 2D • ESPAÑOL","18:15"
"Thunderbolts*","2025-05-07","CLASSIC • 2D • ESPAÑOL","19:15"
"Thunderbolts*","2025-05-07","CLASSIC • 2D • ESPAÑOL","20:00"
"Thunderbolts*","2025-05-07","CLASSIC • 2D • ESPAÑOL","21:00"
"Thunderbolts*","2025-05-07","CLASSIC • 2D • ESPAÑOL","22:00"
"Thunderbolts*","2025-05-07","CLASSIC • 3D • ESPAÑOL","16:45"
"Thunderbolts*","2025-05-07","CLASSIC • 3D • ESPAÑOL","19:30"
"Thunderbolts*","2025-05-07","CLASSIC • 3D • ESPAÑOL","22:15"
"Thunderbolts*","2025-05-07","CLASSIC • 2D • SUBTITULADO","22:45"
"Thunderbolts*","2025-05-07","4D • 3D • ESPAÑOL","17:00"
"Thunderbolts*","2025-05-07","4D • 3D • ESPAÑOL","19:45"
