Fecha,Horario,FormatoImagen,FormatoIdioma,Cine,Nombre
2025-04-24,19:10,2D,Castellano,Las Tipas,Puente en llamas
2025-04-24,21:00,2D,Castellano,Las Tipas,Cónclave
2025-04-24,18:50,4D,Subtitulado,Las Tipas,La venganza de los Sith 20 Aniversario
2025-04-24,22:10,2D,Subtitulado,Showcase,Puente en llamas
2025-04-24,17:30,2D,Castellano,Cinépolis,MAZEL TOV
2025-04-24,16:35,2D,Castellano,Showcase,Puente en llamas
2025-04-24,16:45,2D,Castellano,Showcase,El Amateur: Operación Venganza
2025-04-24,14:05,2D,Castellano,Showcase,EL REY DE REYES
2025-04-24,20:00,2D,Subtitulado,Showcase,MINECRAFT
2025-04-24,22:20,2D,Subtitulado,Showcase,MINECRAFT
2025-04-24,14:00,2D,Castellano,Showcase,MINECRAFT
2025-04-24,15:00,2D,Castellano,Showcase,MINECRAFT
2025-04-24,15:20,2D,Castellano,Showcase,MINECRAFT
2025-04-24,16:20,2D,Castellano,Showcase,MINECRAFT
2025-04-24,17:20,2D,Castellano,Showcase,MINECRAFT
2025-04-24,17:40,2D,Castellano,Showcase,MINECRAFT
2025-04-24,19:00,2D,Castellano,Showcase,MINECRAFT
2025-04-24,19:40,2D,Castellano,Showcase,MINECRAFT
2025-04-24,22:00,2D,Castellano,Showcase,MINECRAFT
2025-04-24,21:40,3D,Castellano,Showcase,MINECRAFT
2025-04-24,19:20,3D,Castellano,Showcase,MINECRAFT
2025-04-24,14:05,2D,Castellano,Showcase,El Amateur: Operación Venganza
2025-04-24,22:25,2D,Subtitulado,Showcase,El Amateur: Operación Venganza
2025-04-24,22:15,2D,Castellano,Showcase,PECADORES
2025-04-24,19:05,2D,Subtitulado,Showcase,PECADORES
2025-04-24,19:55,2D,Subtitulado,Showcase,DROP AMENAZA ANONIMA
2025-04-24,17:35,2D,Castellano,Showcase,DROP AMENAZA ANONIMA
2025-04-24,14:20,2D,Castellano,Showcase,Looney Tunes
2025-04-24,21:50,2D,Castellano,Showcase,BLANCANIEVES
2025-04-24,19:15,2D,Castellano,Showcase,BLANCANIEVES
2025-04-24,16:40,2D,Castellano,Showcase,BLANCANIEVES
2025-04-24,14:15,2D,Castellano,Showcase,BLANCANIEVES
2025-04-24,15:15,2D,Castellano,Showcase,Puente en llamas
2025-04-24,15:10,2D,Castellano,Showcase,MAZEL TOV
2025-04-24,17:30,2D,Castellano,Showcase,MAZEL TOV
2025-04-24,17:50,2D,Castellano,Showcase,MAZEL TOV
2025-04-24,17:00,4D,Castellano,Las Tipas,BLANCANIEVES
2025-04-24,19:50,2D,Castellano,Showcase,MAZEL TOV
2025-04-24,21:30,2D,Castellano,Showcase,MAZEL TOV
2025-04-24,22:05,2D,Castellano,Showcase,MAZEL TOV
2025-04-24,22:35,2D,Castellano,Showcase,MAZEL TOV
2025-04-24,15:30,2D,Castellano,Showcase,MAZEL TOV
2025-04-24,20:50,2D,Subtitulado,Las Tipas,DROP AMENAZA ANONIMA
2025-04-24,14:20,4D,Castellano,Las Tipas,BLANCANIEVES
2025-04-24,18:30,2D,Castellano,Las Tipas,Looney Tunes
2025-04-24,22:45,2D,Castellano,Cinépolis,Until dawn: noche de terror
2025-04-24,16:30,2D,Castellano,Monumental,ROBOT SALVAJE
2025-04-24,18:55,2D,Castellano,Monumental,PECADORES
2025-04-24,21:10,2D,Castellano,Monumental,PECADORES
2025-04-24,21:20,2D,Subtitulado,Monumental,La venganza de los Sith 20 Aniversario
2025-04-24,21:25,2D,Castellano,Monumental,Puente en llamas
2025-04-24,19:00,2D,Castellano,Monumental,Until dawn: noche de terror
